ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,sample_master_id,collection_date,collection_time,collectors_initials,collection_equipment,Other - collection_equipment,sites_w_tubes,Other - sites_w_tubes,site,Other - site,start_depth,end_depth,numb_hauls_abundance,station_1,station_2,station_3,station_4,equipment_id ,Other - equipment_id ,station_5,station_6,station_7,station_8,frozen_archive_taken,numb_hauls_frozen_archive,notes_zoop_collection,filter_date,filter_initials,box_numb,filtration_notes,x,y
12,259bf385-6d4b-4304-8a50-5f654cd7afb7,1/29/2021 6:25:39 PM,cdesjardins_IISD,1/29/2021 6:25:39 PM,cdesjardins_IISD,2020053103-03,6/1/2020 6:00:00 PM,09:13,"PF, LDH",zootubes,,373_LA_CMP_PE,,,,,,,2,14,6,20,373_20_1,,4,10,,,yes,1,,7/31/2020 6:00:00 PM,NB,1,Need to update this visit- field book in the city when entering data here,0,0
13,0ad76f5c-c77c-47d7-8fe8-4904b9e2be62,1/29/2021 6:32:34 PM,cdesjardins_IISD,1/29/2021 6:32:34 PM,cdesjardins_IISD,2020053105-02,6/1/2020 6:00:00 PM,14:10,"PF, LDH",zootubes,,303_LA_CMP_PE,,,,,,,2.25,1.5,1.5,1,303_20_1,,2.5,,,,yes,1,"#1 2.25m
#2 1.5m
#3 1.5 m
#4 1.0 m
#5 2.5 m",7/31/2020 6:00:00 PM,NB,1,,0,0
14,6ab62e47-587a-4370-8d46-e81f84ffb1c3,1/29/2021 6:48:56 PM,cdesjardins_IISD,1/29/2021 6:48:56 PM,cdesjardins_IISD,2020053106-03,6/1/2020 6:00:00 PM,13:10,"PF, LDH",zootubes,,304_LA_CMP_PE,,,,,,,3,2.75,4,5,304_20_1,,6,,,,yes,1,"#1 3 m
#2 2.75 m
#3 4 m
#4 5 m
#5 6 m",7/31/2020 6:00:00 PM,NB,1,,0,0
15,1e10ab18-3ecc-4698-8300-82e7a7030b95,1/29/2021 7:01:12 PM,cdesjardins_IISD,1/29/2021 7:01:12 PM,cdesjardins_IISD,2020082505-03,8/25/2020 6:00:00 PM,14:30,"KS, LT ",zoonets,,,,224_LA_CB_PE,,0,25.5,2,,,,,224_20_1_224_20_2,,,,,,yes,1,,9/21/2020 6:00:00 PM,KS,2,,0,0
16,520119a6-3089-46ea-8c79-b67ded857b02,1/29/2021 7:09:41 PM,cdesjardins_IISD,1/29/2021 7:09:41 PM,cdesjardins_IISD,2020072704-03,7/27/2020 6:00:00 PM,13:55,"LT, LEH",zootubes,,260_LA_CMP_PE,,,,,,,4,14,6,2,260_20_1,,4,2,8,,no,,,9/22/2020 6:00:00 PM,KS,2,"Sand in sample, didn't transfer to vial",0,0
17,b91eb4da-0c58-48f5-89c1-74b9bd259cb1,1/29/2021 7:16:13 PM,cdesjardins_IISD,1/29/2021 7:16:13 PM,cdesjardins_IISD,2020072802-03,7/28/2020 6:00:00 PM,08:40,"LEH, LT",zootubes,,378_LA_CMP_PE,,,,,,,3.5,5.5,,7.5,378_20_1,,,9.5,11.5,14.5,yes,1,,9/22/2020 6:00:00 PM,KS,2,5 min,0,0
18,51dba172-8512-4414-8aa0-115c045e4df7,1/29/2021 7:21:55 PM,cdesjardins_IISD,1/29/2021 7:21:55 PM,cdesjardins_IISD,2020092204-03,9/22/2020 6:00:00 PM,13:46,"KS, PF",zoonets,,,,224_LA_CB_PE,,0,25,2,,,,,224_20_1_224_20_2,,,,,,yes,1,,10/21/2020 6:00:00 PM,KS,2,,0,0
19,597e249f-8b57-498a-8407-88cc4c3448e6,1/29/2021 7:27:53 PM,cdesjardins_IISD,1/29/2021 7:27:53 PM,cdesjardins_IISD,2020072705-02,7/27/2020 6:00:00 PM,15:15,"PF, NB",zootubes,,303_LA_CMP_PE,,,,,,,2,1.25,1.5,0.75,303_20_1,,2.5,,,,no,,,10/21/2020 6:00:00 PM,KS,2,,0,0
20,a9b9ea4b-e6ef-4ca1-8ea5-04a37ac2db05,1/29/2021 7:34:43 PM,cdesjardins_IISD,1/29/2021 7:34:43 PM,cdesjardins_IISD,2020062802-09,6/29/2020 6:00:00 PM,10:28,"PF, LT",zoonets,,,,239_LA_CB_PE,,0,29.5,2,,,,,239_20_1_239_20_2,,,,,,no,,,10/21/2020 6:00:00 PM,KS,2,Sample master label says 28 instead of 29 June 2020,0,0
21,f1d3ad20-7abb-467d-8920-7404fac1de12,1/29/2021 7:42:41 PM,cdesjardins_IISD,1/29/2021 7:42:41 PM,cdesjardins_IISD,2020031902-01,3/19/2020 6:00:00 PM,09:00,FieldCrew,single_barrel_net,,,,223_LA_CB_PE,,0,12,2,,,,,other,Single barrel net 223 from 2019?,,,,,no,,"Don't know if frozen archive sampled, don't know equipment id, it is the net we use in winter",10/21/2020 6:00:00 PM,KS,2,,0,0
22,b6d0fc3a-30e7-4678-8e4e-38705e7101a1,1/29/2021 7:57:48 PM,cdesjardins_IISD,1/29/2021 7:57:48 PM,cdesjardins_IISD,2020062803-03,6/28/2020 6:00:00 PM,09:25,"KS, LEH",zootubes,,373_LA_CMP_PE,,,,,,,2,14,6,20,373_20_1,,4,10,,,yes,,Not sure how many hauls were done for frozen archive,10/22/2020 6:00:00 PM,KS,2,,0,0
23,3645c419-946d-4f0a-8984-9437488706ca,1/29/2021 8:02:39 PM,cdesjardins_IISD,1/29/2021 8:02:39 PM,cdesjardins_IISD,2020072806-03,7/28/2020 6:00:00 PM,14:00,"LEH, LT",zoonets,,,,224_LA_CB_PE,,0,25,2,,,,,224_20_1_224_20_2,,,,,,yes,,not sure how many hauls taken for frozen archive,10/23/2020 6:00:00 PM,KS,2,,0,0
24,9fe398f0-4c98-4b60-8da9-2a7d1ca8db7b,1/29/2021 8:08:12 PM,cdesjardins_IISD,1/29/2021 8:08:12 PM,cdesjardins_IISD,2020092203-03,9/22/2020 6:00:00 PM,09:45,"KS, LEH",zoonets,,,,227_LA_CB_PE,,0,9,2,,,,,227_20_1_227_20_2,,,,,,no,,,10/23/2020 6:00:00 PM,KS,2,,0,0
25,532aa8e2-8617-4f30-82f3-6d8f646bd5e1,1/29/2021 8:13:32 PM,cdesjardins_IISD,1/29/2021 8:13:32 PM,cdesjardins_IISD,2020092208-02,9/22/2020 6:00:00 PM,13:45,"LEH, LDH",zoonets,,,,223_LA_CB_PE,,0,12.5,2,,,,,223_20_1_223_20_2,,,,,,yes,,not sure how many hauls were taken for frozen archive,10/23/2020 6:00:00 PM,KS,2,,0,0
26,4c8f5752-8ed6-4a28-8d85-763f2b5a08f0,1/29/2021 8:20:14 PM,cdesjardins_IISD,1/29/2021 8:20:14 PM,cdesjardins_IISD,2020072805-02,7/28/2020 6:00:00 PM,14:27,"PF, NB",zoonets,,,,223_LA_CB_PE,,0,12.5,2,,,,,223_20_1_223_20_2,,,,,,yes,,not sure how many hauls were taken for frozen archive,10/23/2020 6:00:00 PM,KS,2,sample in 2 vials,0,0
27,6e2e5128-bd63-4c9f-81d6-4f05e001e419,2/1/2021 2:45:25 PM,cdesjardins_IISD,2/1/2021 2:45:25 PM,cdesjardins_IISD,2020072803-03,7/28/2020 6:00:00 PM,09:10,"PF, NB",zoonets,,,,227_LA_CB_PE,,0,8.75,2,,,,,227_20_1_227_20_2,,,,,,no,,,10/23/2020 6:00:00 PM,KS,2,,0,0
