united_code,lake,date,year,month,jd,time,depth,light_percent,light_situ,log_e_light,flag
114_1988-07-13,114,1988-07-13,1988,7,195,9:00:00,0,100,183,5.209486153,yes
114_1988-07-13,114,1988-07-13,1988,7,195,9:00:00,0.5,34.42,63,4.143134726,no
114_1988-07-13,114,1988-07-13,1988,7,195,9:00:00,1,25.68,47,3.850147602,no
114_1988-07-13,114,1988-07-13,1988,7,195,9:00:00,2,10.92,20,2.995732274,no
114_1988-07-13,114,1988-07-13,1988,7,195,9:00:00,3,6.5,11.9,2.4765384,no
114_1988-07-13,114,1988-07-13,1988,7,195,9:00:00,4,3.11,5.7,1.740466175,no
114_1988-07-13,114,1988-07-13,1988,7,195,9:00:00,4.5,2.62,4.8,1.568615918,no
114_1988-08-10,114,1988-08-10,1988,8,223,8:10:00,0,100,52,3.951243719,yes
114_1988-08-10,114,1988-08-10,1988,8,223,8:10:00,0.5,33.46,17.4,2.856470206,no
114_1988-08-10,114,1988-08-10,1988,8,223,8:10:00,1,20.19,10.5,2.351375257,no
114_1988-08-10,114,1988-08-10,1988,8,223,8:10:00,2,10.57,5.5,1.704748092,no
114_1988-08-10,114,1988-08-10,1988,8,223,8:10:00,3,5.77,3,1.098612289,no
114_1988-08-10,114,1988-08-10,1988,8,223,8:10:00,4,3.46,1.8,0.587786665,no
114_1988-08-10,114,1988-08-10,1988,8,223,8:10:00,4.5,2.31,1.2,0.182321557,no
114_1988-09-07,114,1988-09-07,1988,9,251,11:05:00,0,100,79,4.369447852,yes
114_1988-09-07,114,1988-09-07,1988,9,251,11:05:00,0.5,50.63,40,3.688879454,no
114_1988-09-07,114,1988-09-07,1988,9,251,11:05:00,1,31.89,25.2,3.226843995,no
114_1988-09-07,114,1988-09-07,1988,9,251,11:05:00,2,17.21,13.6,2.610069793,no
114_1988-09-07,114,1988-09-07,1988,9,251,11:05:00,3,10.75,8.5,2.140066163,no
114_1988-09-07,114,1988-09-07,1988,9,251,11:05:00,4,6.33,5,1.609437912,no
114_1988-10-03,114,1988-10-03,1988,10,277,11:29:00,0,100,210,5.347107531,yes
114_1988-10-03,114,1988-10-03,1988,10,277,11:29:00,0.5,47.61,100,4.605170186,yes
114_1988-10-03,114,1988-10-03,1988,10,277,11:29:00,1,22.85,48,3.871201011,no
114_1988-10-03,114,1988-10-03,1988,10,277,11:29:00,2,13.33,28,3.33220451,no
114_1988-10-03,114,1988-10-03,1988,10,277,11:29:00,3,7.62,16,2.772588722,no
114_1988-10-03,114,1988-10-03,1988,10,277,11:29:00,4,4.95,10.4,2.341805806,no
114_1997-05-13,114,1997-05-13,1997,5,133,7:30:00,0,100,265.4,5.581238122,yes
114_1997-05-13,114,1997-05-13,1997,5,133,7:30:00,0.5,55.08,146.2,4.984975547,yes
114_1997-05-13,114,1997-05-13,1997,5,133,7:30:00,1,21.02,55.8,4.021773869,no
114_1997-05-13,114,1997-05-13,1997,5,133,7:30:00,2,14.88,39.5,3.676300672,no
114_1997-05-13,114,1997-05-13,1997,5,133,7:30:00,3,7.8,20.7,3.0301337,no
114_1997-05-13,114,1997-05-13,1997,5,133,7:30:00,4,4.14,11,2.397895273,no
114_1997-05-13,114,1997-05-13,1997,5,133,7:30:00,5,2.49,6.6,1.887069649,no
114_1997-05-13,114,1997-05-13,1997,5,133,7:30:00,6,1.39,3.7,1.30833282,no
114_1997-05-26,114,1997-05-26,1997,5,146,7:15:00,0,100,95.1,4.55492897,yes
114_1997-05-26,114,1997-05-26,1997,5,146,7:15:00,0.5,27.54,26.2,3.265759411,no
114_1997-05-26,114,1997-05-26,1997,5,146,7:15:00,1,11.98,11.4,2.433613355,no
114_1997-05-26,114,1997-05-26,1997,5,146,7:15:00,2,5.36,5.1,1.62924054,no
114_1997-05-26,114,1997-05-26,1997,5,146,7:15:00,3,3.26,3.1,1.131402111,no
114_1997-05-26,114,1997-05-26,1997,5,146,7:15:00,4,1.68,1.6,0.470003629,no
114_1997-05-26,114,1997-05-26,1997,5,146,7:15:00,5,0.53,0.5,-0.693147181,no
114_1997-06-10,114,1997-06-10,1997,6,161,7:48:00,0,100,83,4.418840608,yes
114_1997-06-10,114,1997-06-10,1997,6,161,7:48:00,0.5,20.84,17.3,2.850706502,no
114_1997-06-10,114,1997-06-10,1997,6,161,7:48:00,1,11.44,9.5,2.251291799,no
114_1997-06-10,114,1997-06-10,1997,6,161,7:48:00,1.5,10.6,8.8,2.174751721,no
114_1997-06-10,114,1997-06-10,1997,6,161,7:48:00,2,7.11,5.9,1.774952351,no
114_1997-06-10,114,1997-06-10,1997,6,161,7:48:00,2.5,6.02,5,1.609437912,no
114_1997-06-10,114,1997-06-10,1997,6,161,7:48:00,3,5.06,4.2,1.435084525,no
114_1997-06-10,114,1997-06-10,1997,6,161,7:48:00,3.5,3.49,2.9,1.064710737,no
114_1997-06-10,114,1997-06-10,1997,6,161,7:48:00,4,2.29,1.9,0.641853886,no
114_1997-06-10,114,1997-06-10,1997,6,161,7:48:00,4.5,0.12,0.1,-2.302585093,yes
114_1997-06-24,114,1997-06-24,1997,6,175,7:57:00,0,100,162,5.087596335,yes
114_1997-06-24,114,1997-06-24,1997,6,175,7:57:00,0.5,32.16,52.1,3.953164949,no
114_1997-06-24,114,1997-06-24,1997,6,175,7:57:00,1,27.65,44.8,3.802208139,no
