SampleNumber,Site,ParamAnalysisDateTime,Param,Result,Results_Units,Instrument,Results_Commnt
2020053102-10,239 LA CB,,PAR - 10m,,µmol/m2/s,,
2020053102-10,239 LA CB,,PAR - 7m,,µmol/m2/s,,
2020053102-10,239 LA CB,,PAR - 8m,,µmol/m2/s,,
2020053102-10,239 LA CB,,PAR - 9m,,µmol/m2/s,,
2020053102-10,239 LA CB,06/01/2020 00:00,PAR - 0.5m,135,µmol/m2/s,PAR 2045,
2020053102-10,239 LA CB,06/01/2020 00:00,PAR - 1m,68,µmol/m2/s,PAR 2045,
2020053102-10,239 LA CB,06/01/2020 00:00,PAR - 2m,31,µmol/m2/s,PAR 2045,
2020053102-10,239 LA CB,06/01/2020 00:00,PAR - 3m,14,µmol/m2/s,PAR 2045,
2020053102-10,239 LA CB,06/01/2020 00:00,PAR - 4m,7,µmol/m2/s,PAR 2045,
2020053102-10,239 LA CB,06/01/2020 00:00,PAR - 5m,3.4,µmol/m2/s,PAR 2045,
2020053102-10,239 LA CB,06/01/2020 00:00,PAR - 6m,1.6,µmol/m2/s,PAR 2045,
2020053102-10,239 LA CB,06/01/2020 00:00,PAR - Air 1,300,µmol/m2/s,PAR 2045,
2020053102-10,239 LA CB,06/01/2020 00:00,PAR - Air 2,297,µmol/m2/s,PAR 2045,
2020053103-04,373 LA CB,,PAR - 10m,,µmol/m2/s,,
2020053103-04,373 LA CB,,PAR - 11m,,µmol/m2/s,,
2020053103-04,373 LA CB,,PAR - 12m,,µmol/m2/s,,
2020053103-04,373 LA CB,,PAR - 13m,,µmol/m2/s,,
2020053103-04,373 LA CB,,PAR - 14m,,µmol/m2/s,,
2020053103-04,373 LA CB,,PAR - 15m,,µmol/m2/s,,
2020053103-04,373 LA CB,,PAR - 16m,,µmol/m2/s,,
2020053103-04,373 LA CB,,PAR - 9m,,µmol/m2/s,,
2020053103-04,373 LA CB,06/01/2020 13:00,PAR - 0.5m,77,µmol/m2/s,PAR 7280,
2020053103-04,373 LA CB,06/01/2020 13:00,PAR - 1m,58,µmol/m2/s,PAR 7280,
2020053103-04,373 LA CB,06/01/2020 13:00,PAR - 2m,32,µmol/m2/s,PAR 7280,
2020053103-04,373 LA CB,06/01/2020 13:00,PAR - 3m,20,µmol/m2/s,PAR 7280,
2020053103-04,373 LA CB,06/01/2020 13:00,PAR - 4m,12.8,µmol/m2/s,PAR 7280,
